time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,lumbar_extension
9.10500000,-3.89928650,-1.61643032,-51.74711872,-0.68591159,0.95988759,-0.35721488,-1.78692239,1.57874104,0.00000000,-2.78220123,0.95804441,22.89829069,-2.56166638,0.00000000,-36.14938149,1.38683150,-5.00000214
9.11000000,-3.89919544,-1.66272061,-51.40231249,-0.68586927,0.95994856,-0.35485912,-2.02854697,1.74954400,0.00000000,-2.68681341,1.03444744,22.64217944,-2.33245055,0.00000000,-34.97886916,1.33452367,-5.00000214
9.11500000,-3.89860433,-1.72350906,-51.03200273,-0.68569361,0.95986969,-0.35273293,-2.27496498,1.91237185,0.00000000,-2.59777357,1.02553383,22.34234305,-2.11022773,0.00000000,-33.70384972,1.25229851,-5.00000214
9.12000000,-3.89850469,-1.77444381,-50.64712035,-0.68521100,0.95971324,-0.35064885,-2.51301255,2.04848898,0.00000000,-2.52541712,1.14330908,22.03930046,-1.87659485,0.00000000,-32.48694219,1.25732866,-5.00000214
9.12500000,-3.90857633,-1.87700520,-50.28274308,-0.68470707,0.95949855,-0.34860806,-2.76787007,2.23418102,0.00000000,-2.48394089,1.24229073,21.71821965,-1.68291597,0.00000000,-31.32446341,1.26143119,-5.00000214
9.13000000,-3.90417241,-1.95554794,-49.93422137,-0.68435226,0.95921231,-0.34654964,-2.97027524,2.40965783,0.00000000,-2.50004979,1.34569673,21.43020686,-1.49971918,0.00000000,-30.22236649,1.20843685,-5.00000214
9.13500000,-3.90555057,-2.04585865,-49.58779031,-0.68370912,0.95900957,-0.34436614,-3.19931304,2.57759721,0.00000000,-2.51166675,1.49926558,21.06756030,-1.32119800,0.00000000,-29.07837056,1.14750567,-5.00000214
9.14000000,-3.90312302,-2.18027826,-49.21144638,-0.68320838,0.95878605,-0.34240143,-3.42293090,2.77987364,0.00000000,-2.57631282,1.60999540,20.74809049,-1.19414583,0.00000000,-28.06425135,0.95434223,-5.00000214
9.14500000,-3.90880777,-2.25940401,-48.79794915,-0.68290546,0.95848256,-0.34019904,-3.60609162,2.98812304,0.00000000,-2.61454210,1.79943556,20.51188979,-1.06392875,0.00000000,-27.14543309,0.74632534,-5.00000214
9.15000000,-3.90704860,-2.43099713,-48.42412658,-0.68235040,0.95830771,-0.33806277,-3.84308189,3.21658240,0.00000000,-2.72093465,1.99062253,20.15093581,-0.97257735,0.00000000,-26.21346680,0.51555681,-5.00000214
9.15500000,-3.90418431,-2.69204833,-48.14991064,-0.68149351,0.95801170,-0.33644545,-4.06932989,3.46322737,0.00000000,-2.94325153,2.18314814,19.75480937,-0.92301399,0.00000000,-25.40393887,0.32290029,-5.00000214
9.16000000,-3.90617503,-2.80301664,-47.72226742,-0.68089577,0.95777108,-0.33437290,-4.23961160,3.67219953,0.00000000,-3.07328406,2.36023479,19.49879880,-0.81406557,0.00000000,-24.63093992,0.10765041,-5.00000214
9.16500000,-3.91064982,-2.88598058,-47.30646131,-0.68059886,0.95754560,-0.33205371,-4.35061740,3.89264766,0.00000000,-3.25337930,2.57294259,19.21250784,-0.73963337,0.00000000,-23.79671164,-0.25367052,-5.00000214
9.17000000,-3.91034288,-2.98043079,-46.83186859,-0.67983853,0.95710009,-0.33022706,-4.46780562,4.07798646,0.00000000,-3.44957174,2.77755491,19.05043121,-0.61665879,0.00000000,-23.29592967,-0.49127426,-5.00000214
9.17500000,-3.91211963,-3.03128556,-46.36953822,-0.67932008,0.95698496,-0.32813473,-4.52946884,4.25708749,0.00000000,-3.66510335,2.99657558,18.82621010,-0.50853512,0.00000000,-22.69234468,-0.73431618,-5.00000214
9.18000000,-3.91235988,-3.08691521,-45.88100427,-0.67846827,0.95661409,-0.32594099,-4.63549411,4.43354929,0.00000000,-3.84654716,3.22541004,18.64378405,-0.39801636,0.00000000,-22.26289448,-0.90341095,-5.00000214
9.18500000,-3.91546565,-3.16925709,-45.47081018,-0.67827613,0.95633052,-0.32369728,-4.63307270,4.65853687,0.00000000,-4.20108196,3.48015017,18.38970300,-0.37716325,0.00000000,-21.77436983,-1.18770760,-5.00000214
9.19000000,-3.92132005,-3.29274413,-44.99767878,-0.67748604,0.95598040,-0.32166661,-4.71860706,4.88729892,0.00000000,-4.47771009,3.65221799,18.25977721,-0.35002899,0.00000000,-21.62596568,-1.40697317,-5.00000214
