time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,lumbar_extension
9.09000000,-0.60941559,-3.90842258,40.49503485,0.20404907,0.95964955,-0.70229487,2.57655068,0.26372426,0.00000000,-5.41340846,0.42208152,27.77334408,-1.90619523,0.00000000,-40.64072846,-3.11380790,-5.00000214
9.09500000,-0.54341680,-3.91409516,40.82884374,0.20609385,0.95970253,-0.70244123,2.30682062,0.41500243,0.00000000,-5.26723222,0.44500769,27.47899727,-1.58756705,0.00000000,-39.38359081,-3.09699139,-5.00000214
9.10000000,-0.53923779,-3.91752744,41.26302955,0.20827253,0.95956282,-0.70270059,2.03287878,0.52758938,0.00000000,-5.06862611,0.52685336,27.26196034,-1.25667812,0.00000000,-38.20051634,-3.00311734,-5.00000214
9.10500000,-0.44736753,-3.91846611,41.56208271,0.20983839,0.95939908,-0.70343428,1.77596874,0.64277056,0.00000000,-4.98910980,0.58361665,26.96222453,-0.95703539,0.00000000,-37.06360243,-2.92597470,-5.00000214
9.11000000,-0.41624207,-3.91864805,41.91353671,0.21219160,0.95950560,-0.70350127,1.54198824,0.79751069,0.00000000,-4.87936966,0.63627233,26.68290664,-0.68812448,0.00000000,-35.88736116,-2.97792029,-5.00000214
9.11500000,-0.37983752,-3.92057661,42.28098912,0.21431264,0.95945747,-0.70364967,1.33599586,0.93986520,0.00000000,-4.82581302,0.68864737,26.36705742,-0.42540911,0.00000000,-34.61159262,-2.99435198,-5.00000214
9.12000000,-0.39317050,-3.92123627,42.65691314,0.21641680,0.95938853,-0.70416403,1.14047406,1.02164847,0.00000000,-4.72508557,0.68517233,26.04497908,-0.11763136,0.00000000,-33.32197472,-3.10318748,-5.00000214
9.12500000,-0.30505505,-3.92492276,43.01631775,0.21846473,0.95919545,-0.70462222,0.91842362,1.18834732,0.00000000,-4.73431078,0.85189112,25.71117483,0.11293606,0.00000000,-32.18749194,-3.03159922,-5.00000214
9.13000000,-0.34153893,-3.92309682,43.34291883,0.22052515,0.95891148,-0.70497469,0.83288920,1.27279350,0.00000000,-4.79112346,0.95415903,25.44258130,0.39801087,0.00000000,-31.00023242,-3.20227593,-5.00000214
9.13500000,-0.24448285,-3.92221946,43.69040360,0.22270359,0.95874276,-0.70561569,0.60658613,1.43810949,0.00000000,-4.82352818,1.16636206,25.05395425,0.59321231,0.00000000,-29.88310284,-3.16747579,-5.00000214
9.14000000,-0.12748554,-3.92014652,44.05483639,0.22469539,0.95853173,-0.70607264,0.40805320,1.62538413,0.00000000,-4.90084294,1.30743198,24.72093498,0.74466387,0.00000000,-28.87728669,-3.29594545,-5.00000214
9.14500000,-0.06506708,-3.92281022,44.45638122,0.22696529,0.95828058,-0.70637994,0.23981321,1.81088696,0.00000000,-4.95336315,1.51281775,24.43807370,0.90975854,0.00000000,-27.91171049,-3.49270467,-5.00000214
9.15000000,0.08361673,-3.92352860,44.81614411,0.22913524,0.95814394,-0.70689812,0.03217541,2.02244873,0.00000000,-5.06579571,1.71409139,24.06209451,1.02853860,0.00000000,-26.96153861,-3.71024615,-5.00000214
